Rec #,Establishment ID,Inspection ID,Establishment Name,Establishment Type,Establishment Address,Latitude,Longitude,Establishment Status,Min. Inspections Per Year,Infraction Details,Inspection Date,Severity,Action,Outcome,Amount Fined
14731,9013789,105174484,SENIOR'S HEALTH CENTRE,Institutional Food Services,"2 BUCHAN CRT, Flr-1-4",43.77307,-79.35945,Pass,3,FAIL TO MAINTAIN HANDWASHING STATIONS (LIQUID SOAP AND PAPER TOWELS) - SEC. 7(3)(C),05/16/2023,S - Significant,Corrected During Inspection,,
14732,10513401,105174361,SHAAREI SHOMAYIM CONGREGATION,Food Caterer,"470 GLENCAIRN AVE, Flr-2nd",43.71311,-79.427,Pass,3,Food premise not maintained with ceilings in good repair in food-handling room - Sec. 7(1)(g)  ,05/16/2023,M - Minor,Notice to Comply,,
14733,10513401,105174361,SHAAREI SHOMAYIM CONGREGATION,Food Caterer,"470 GLENCAIRN AVE, Flr-2nd",43.71311,-79.427,Pass,3,Operate food premise - equipment not constructed to permit maintenance in sanitary condition - Sec. 9,05/16/2023,M - Minor,Notice to Comply,,
14734,10513401,105174361,SHAAREI SHOMAYIM CONGREGATION,Food Caterer,"470 GLENCAIRN AVE, Flr-2nd",43.71311,-79.427,Pass,3,FOOD PREMISE NOT MAINTAINED WITH CLEAN WALLS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ,05/16/2023,M - Minor,Notice to Comply,,
14735,10513401,105174361,SHAAREI SHOMAYIM CONGREGATION,Food Caterer,"470 GLENCAIRN AVE, Flr-2nd",43.71311,-79.427,Pass,3,FOOD PREMISE NOT MAINTAINED WITH CLEAN CEILING IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ,05/16/2023,M - Minor,Notice to Comply,,
14736,10513401,105174361,SHAAREI SHOMAYIM CONGREGATION,Food Caterer,"470 GLENCAIRN AVE, Flr-2nd",43.71311,-79.427,Pass,3,FAIL TO ENSURE EQUIPMENT SURFACE SANITIZED AS NECESSARY - SEC. 22,05/16/2023,M - Minor,Notice to Comply,,
14737,10513401,105174361,SHAAREI SHOMAYIM CONGREGATION,Food Caterer,"470 GLENCAIRN AVE, Flr-2nd",43.71311,-79.427,Pass,3,Fail to ensure completion of food handling training by food handler or supervisor - Sec. 32,05/16/2023,NA - Not Applicable,Notice to Comply,,
14738,10388616,105174516,SHOPPERS DRUG MART,Food Store (Convenience/Variety),747 DON MILLS RD,43.71355,-79.3356,Pass,1,Fail to protect against entry of pests - Sec. 13(1),05/16/2023,M - Minor,Notice to Comply,,
14739,10388616,105174516,SHOPPERS DRUG MART,Food Store (Convenience/Variety),747 DON MILLS RD,43.71355,-79.3356,Pass,1,FOOD PREMISE NOT MAINTAINED WITH CLEAN FLOORS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ,05/16/2023,M - Minor,Notice to Comply,,
14740,10486447,105175445,SHOPPERS DRUG MART,Food Store (Convenience/Variety),2345 YONGE ST,43.70896,-79.39794,Pass,1,,05/16/2023,,,,
14741,9014098,105174503,SILVERSTONE LEARNING CENTRE,Child Care - Food Preparation,520 SILVERSTONE DR,43.73814,-79.59485,Pass,3,,05/16/2023,,,,
14742,10317747,105174215,SOUL BAGEL,Bakery,3515 BATHURST ST,43.72904,-79.43169,Pass,2,FOOD PREMISE NOT MAINTAINED WITH CLEAN FLOORS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ,05/16/2023,M - Minor,Notice to Comply,,
14743,10317747,105174215,SOUL BAGEL,Bakery,3515 BATHURST ST,43.72904,-79.43169,Pass,2,Fail to ensure presence of food handler or supervisor during all hours of operation - Sec. 32,05/16/2023,NA - Not Applicable,Notice to Comply,,
14744,10770790,105174522,STAR FRUIT MARKET,Supermarket,523 PARLIAMENT ST,43.6654,-79.36818,Pass,2,,05/16/2023,,,,
14745,10421455,105174424,SUBWAY,Restaurant,130 KING ST W,43.64805,-79.38345,Pass,2,,05/16/2023,,,,
14746,10685610,105174803,SUSHI SHOP,Restaurant,"4700 KEELE ST, Unit-CRU11",43.77342,-79.50234,Pass,2,,05/16/2023,,,,
14747,10781287,105174681,TACOS CASA SONORA,Food Take Out,1688 DUFFERIN ST,43.67827,-79.44339,Pass,2,,05/16/2023,,,,
14748,9006347,105174280,THE BILL MCMURRAY RESIDENCE,Retirement Homes(Licensed),180 SHERIDAN AVE,43.65162,-79.4347,Pass,3,OPERATE FOOD PREMISE - MECHANICAL EQUIPMENT NOT MAINTAINED TO PROVIDE SUFFICIENT CHEMICAL SOLUTION RINSE - SEC. 20(1)(A)(II)(B) ,05/16/2023,S - Significant,Corrected During Inspection,,
14749,9393372,105174358,THE CHOCOLATE MOOSE,Food Take Out,2839 BATHURST ST,43.71403,-79.42811,Pass,2,USE UTENSILS NOT FREE FROM CRACKS IN CONTACT WITH FOOD - SEC. 8(2)(B)  ,05/16/2023,S - Significant,Corrected During Inspection,,
14750,9393372,105174358,THE CHOCOLATE MOOSE,Food Take Out,2839 BATHURST ST,43.71403,-79.42811,Pass,2,FOOD PREMISE NOT MAINTAINED WITH FOOD HANDLING ROOM IN SANITARY CONDITION - SEC. 7(1)(E) ,05/16/2023,M - Minor,Notice to Comply,,
14751,9393372,105174358,THE CHOCOLATE MOOSE,Food Take Out,2839 BATHURST ST,43.71403,-79.42811,Pass,2,FOOD PREMISE NOT MAINTAINED WITH CLEAN FLOORS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ,05/16/2023,M - Minor,Notice to Comply,,
14752,9393372,105174358,THE CHOCOLATE MOOSE,Food Take Out,2839 BATHURST ST,43.71403,-79.42811,Pass,2,FAIL TO ENSURE EQUIPMENT SURFACE SANITIZED AS NECESSARY - SEC. 22,05/16/2023,M - Minor,Notice to Comply,,
14753,9393372,105174358,THE CHOCOLATE MOOSE,Food Take Out,2839 BATHURST ST,43.71403,-79.42811,Pass,2,Fail to ensure completion of food handling training by food handler or supervisor - Sec. 32,05/16/2023,NA - Not Applicable,Notice to Comply,,
14754,9393372,105174358,THE CHOCOLATE MOOSE,Food Take Out,2839 BATHURST ST,43.71403,-79.42811,Pass,2,FAIL TO MAINTAIN HANDWASHING STATIONS (LIQUID SOAP AND PAPER TOWELS) - SEC. 7(3)(C),05/16/2023,S - Significant,Corrected During Inspection,,
