Rec #,Establishment ID,Inspection ID,Establishment Name,Establishment Type,Establishment Address,Latitude,Longitude,Establishment Status,Min. Inspections Per Year,Infraction Details,Inspection Date,Severity,Action,Outcome,Amount Fined
3358,9053416,105117113,ARZON SUPER MARKET,Food Take Out,6103-6105 YONGE ST,43.79132,-79.41804,Pass,3,Fail to ensure completion of food handling training by food handler or supervisor - Sec. 32,02/08/2023,NA - Not Applicable,Notice to Comply,,
3359,9053416,105117113,ARZON SUPER MARKET,Food Take Out,6103-6105 YONGE ST,43.79132,-79.41804,Pass,3,FAIL TO MAINTAIN HANDWASHING STATIONS (LIQUID SOAP AND PAPER TOWELS) - SEC. 7(3)(C),02/08/2023,S - Significant,Corrected During Inspection,,
3360,10508213,105117188,BANI HALAL FOOD,Commissary,43 DRUMMOND ST,43.61145,-79.50126,Pass,2,Fail to protect against entry of pests - Sec. 13(1),02/08/2023,M - Minor,Notice to Comply,,
3361,10761424,105109265,BRAZILIAN'S CHOICE FOODS & SNACKS,Restaurant,2096 EGLINTON AVE W,43.69424,-79.45779,Pass,2,,02/08/2023,,,,
3362,10332007,105115676,BUK CHANG DONG SOON TOFU,Restaurant,691 BLOOR ST W,43.66365,-79.41716,Pass,3,,02/08/2023,,,,
3363,10542888,105117177,CACTUS CLUB CAFE,Restaurant,100 KING ST W,43.64873,-79.38376,Pass,2,SANITIZE UTENSILS IN CHLORINE SOLUTION OF LESS THAN 100 P.P.M. OF AVAILABLE CHLORINE - SEC. 19(B) ,02/08/2023,S - Significant,Corrected During Inspection,,
3364,10694754,105115561,CARIBBEAN QUEEN JERK,Food Take Out,393 JANE ST,43.65809,-79.48787,Pass,2,,02/08/2023,,,,
3365,9003141,105116861,CENTRE FOR EARLY CHILDHOOD EDUCATION,Child Care - Food Preparation,45 GOLFDOWN DR,43.72224,-79.55212,Pass,2,,02/08/2023,,,,
3366,10754467,105117946,CHEFFRY'S ARTISANAL COOKING,Restaurant,"388 RICHMOND ST W, Unit-5B",43.6481,-79.39486,Pass,3,THERMOMETER IN REFRIGERATION EQUIPMENT NOT EASILY READABLE - SEC. 30(B)    ,02/08/2023,S - Significant,Corrected During Inspection,,
3367,10754467,105117946,CHEFFRY'S ARTISANAL COOKING,Restaurant,"388 RICHMOND ST W, Unit-5B",43.6481,-79.39486,Pass,3,Operate food premise - equipment not arranged to permit cleaning - Sec. 9,02/08/2023,M - Minor,Notice to Comply,,
3368,10633708,105117085,CIRCLE K,Food Store (Convenience/Variety),"250 THE QUEENSWAY, Bldg-1",43.62998,-79.48734,Pass,2,,02/08/2023,,,,
3369,10774030,105119580,CKB,Restaurant,391 RONCESVALLES AVE,43.6507,-79.45061,Pass,2,,02/08/2023,,,,
3370,10766087,105117232,COAST TO COAST SEAFOOD,Food Depot,1220 DAVENPORT RD,43.67464,-79.43366,Pass,2,,02/08/2023,,,,
3371,10734329,105117165,Crestfallen Cafe,Food Take Out,663 BLOOR ST W,43.66401,-79.41572,Pass,2,Fail to protect against entry of pests - Sec. 13(1),02/08/2023,M - Minor,Notice to Comply,,
3372,10734329,105117165,Crestfallen Cafe,Food Take Out,663 BLOOR ST W,43.66401,-79.41572,Pass,2,Fail to ensure presence of food handler or supervisor during all hours of operation - Sec. 32,02/08/2023,NA - Not Applicable,Notice to Comply,,
3373,10647602,105117727,DOUCE FRANCE,Bakery,820 DANFORTH AVE,43.67986,-79.34126,Pass,2,,02/08/2023,,,,
3374,10188415,105117394,ENDERBY MANOR,Boarding / Lodging Home - Kitchen,"101 ENDERBY RD, Unit-9",43.68478,-79.30169,Pass,2,Fail to protect against harbouring of pests - Sec. 13(1),02/08/2023,S - Significant,Notice to Comply,,
3375,10766020,105116986,ETOBICOKE COLLEGIATE INSTITUTE,Cafeteria - Public Access,86 MONTGOMERY RD,43.65009,-79.5223,Pass,2,,02/08/2023,,,,
3376,9005207,105116875,EXTENDICARE GUILDWOOD,Nursing Home / Home for the Aged,60 GUILDWOOD PKWY,43.74692,-79.20315,Pass,3,,02/08/2023,,,,
3377,10383952,105117148,FIAMMA,Restaurant,5555 EGLINTON AVE W,43.65004,-79.60354,Pass,2,,02/08/2023,,,,
3378,10668473,105117561,FRESHCO.,Supermarket,325 PARLIAMENT ST,43.65991,-79.36617,Pass,2,Fail to protect food from contamination or adulteration - Sec. 26(1) ,02/08/2023,C - Crucial,Notice to Comply,,
3379,10668473,105117561,FRESHCO.,Supermarket,325 PARLIAMENT ST,43.65991,-79.36617,Pass,2,FOOD PREMISE NOT MAINTAINED WITH CLEAN FLOORS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ,02/08/2023,M - Minor,Notice to Comply,,
3380,10668473,105117561,FRESHCO.,Supermarket,325 PARLIAMENT ST,43.65991,-79.36617,Pass,2,FAIL TO MAINTAIN HANDWASHING STATIONS (LIQUID SOAP AND PAPER TOWELS) - SEC. 7(3)(C),02/08/2023,S - Significant,Notice to Comply,,
3381,10687237,105117938,FRESHII,Restaurant,"310 RICHMOND ST W, Unit-GROUND",43.64911,-79.39193,Pass,2,Fail to protect against entry of pests - Sec. 13(1),02/08/2023,M - Minor,Notice to Comply,,
3382,10633146,105116215,FUWA FUWA,Restaurant,408 BLOOR ST W,43.66603,-79.40792,Pass,3,Fail to protect against entry of pests - Sec. 13(1),02/08/2023,M - Minor,Notice to Comply,,
3383,10605830,105097144,GOOD CHEESE,Restaurant,614 GERRARD ST E,43.66597,-79.3514,Pass,2,USE TOWEL USED FOR OTHER PURPOSE FOR CLEANING FOOD CONTACT SURFACE - SEC. 16(C),02/08/2023,M - Minor,Notice to Comply,,
3384,10713994,105117186,HEARTY CATERING,Cafeteria - Private Access,1255 SHEPPARD AVE E,43.7706,-79.36545,Pass,2,FOOD PREMISE NOT MAINTAINED WITH CLEAN FLOORS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ,02/08/2023,M - Minor,Notice to Comply,,
3385,10713994,105117186,HEARTY CATERING,Cafeteria - Private Access,1255 SHEPPARD AVE E,43.7706,-79.36545,Pass,2,Use racks not of readily cleanable design - Sec. 31,02/08/2023,M - Minor,Notice to Comply,,
3386,9007196,105117218,HUMBER BAY DAY CARE,Child Care - Catered,50 CLOVERHILL RD,43.63563,-79.48969,Pass,2,,02/08/2023,,,,
3387,10580998,105117207,Halibut House,Restaurant,3003 DANFORTH AVE,43.69064,-79.2887,Pass,2,,02/08/2023,,,,
3388,10439371,105117014,Humber Valley Village Before & After School Program,Child Care - Food Preparation,65 HARTFIELD RD,43.66554,-79.52734,Pass,1,,02/08/2023,,,,
3389,10551700,105116320,IMONAY HOUSE,Restaurant,665 BLOOR ST W,43.66412,-79.41585,Pass,3,SANITIZE UTENSILS USING AGENT FOR WHICH TEST REAGENT NOT READILY AVAILABLE - SEC. 19(E)(III) ,02/08/2023,S - Significant,Corrected During Inspection,,
3390,10551700,105116320,IMONAY HOUSE,Restaurant,665 BLOOR ST W,43.66412,-79.41585,Pass,3,SANITIZE UTENSILS IN CHLORINE SOLUTION OF LESS THAN 100 P.P.M. OF AVAILABLE CHLORINE - SEC. 19(B) ,02/08/2023,S - Significant,Corrected During Inspection,,
3391,10551700,105116320,IMONAY HOUSE,Restaurant,665 BLOOR ST W,43.66412,-79.41585,Pass,3,FAIL TO PROVIDE THERMOMETER IN REFRIGERATION EQUIPMENT - SEC. 30(B)    ,02/08/2023,S - Significant,Corrected During Inspection,,
3392,10551700,105116320,IMONAY HOUSE,Restaurant,665 BLOOR ST W,43.66412,-79.41585,Pass,3,Fail to protect against entry of pests - Sec. 13(1),02/08/2023,M - Minor,Notice to Comply,,
3393,10551700,105116320,IMONAY HOUSE,Restaurant,665 BLOOR ST W,43.66412,-79.41585,Pass,3,FOOD PREMISE NOT MAINTAINED WITH FOOD HANDLING ROOM IN SANITARY CONDITION - SEC. 7(1)(E) ,02/08/2023,M - Minor,Notice to Comply,,
3394,10551700,105116320,IMONAY HOUSE,Restaurant,665 BLOOR ST W,43.66412,-79.41585,Pass,3,FAIL TO ENSURE EQUIPMENT SURFACE SANITIZED AS NECESSARY - SEC. 22,02/08/2023,M - Minor,Notice to Comply,,
3395,10551700,105116320,IMONAY HOUSE,Restaurant,665 BLOOR ST W,43.66412,-79.41585,Pass,3,Fail to ensure presence of food handler or supervisor during all hours of operation - Sec. 32,02/08/2023,NA - Not Applicable,Notice to Comply,,
3396,10551700,105116320,IMONAY HOUSE,Restaurant,665 BLOOR ST W,43.66412,-79.41585,Pass,3,FAIL TO MAINTAIN HANDWASHING STATIONS (LIQUID SOAP AND PAPER TOWELS) - SEC. 7(3)(C),02/08/2023,S - Significant,Corrected During Inspection,,
3397,10411848,105117109,KAYAGUM KOREAN RESTAURANT,Restaurant,"5460 YONGE ST, Unit-100",43.77721,-79.41553,Pass,3,FOOD PREMISE NOT MAINTAINED WITH CLEAN FLOORS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ,02/08/2023,M - Minor,Notice to Comply,,
3398,10451373,105117240,KINGYO,Restaurant,537 PARLIAMENT ST,43.66583,-79.36858,Pass,3,,02/08/2023,,,,
3399,10482733,105117451,KINTON RAMEN,Restaurant,51 BALDWIN ST,43.65576,-79.39462,Pass,3,,02/08/2023,,,,
3400,10668117,105117449,KOH LIPE THAI KITCHEN,Restaurant,35 BALDWIN ST,43.65599,-79.39352,Pass,3,FOOD PREMISE NOT MAINTAINED TO KEEP FOOD-HANDLING ROOM FREE FROM EQUIPMENT NOT REGULARLY USED - SEC. 7(1)(F)   ,02/08/2023,M - Minor,Notice to Comply,,
3401,9008565,105116208,LADY BUG DAY CARE,Child Care - Catered,400 BURNHAMTHORPE RD,43.6467,-79.55628,Pass,2,SANITIZE UTENSILS USING AGENT FOR WHICH TEST REAGENT NOT READILY AVAILABLE - SEC. 19(E)(III) ,02/08/2023,S - Significant,Notice to Comply,,
3402,9008565,105116208,LADY BUG DAY CARE,Child Care - Catered,400 BURNHAMTHORPE RD,43.6467,-79.55628,Pass,2,Operate food premise - mechanical equipment not designed to maintain rinse water at 82 C - Sec. 20(1)(a)(ii)(A) ,02/08/2023,S - Significant,Notice to Comply,,
3403,9008565,105116208,LADY BUG DAY CARE,Child Care - Catered,400 BURNHAMTHORPE RD,43.6467,-79.55628,Pass,2,OPERATE FOOD PREMISE - FAIL TO PROVIDE MECHANICAL EQUIPMENT WITH RINSE WATER TEMPERATURE THERMOMETER - SEC. 20(1)(B)  ,02/08/2023,S - Significant,Notice to Comply,,
3404,10765828,105117195,LAMBRETTA PIZZERIA,Food Take Out,1151 DAVENPORT RD,43.67451,-79.43169,Pass,2,,02/08/2023,,,,
3405,10666014,105116899,LAVRADOR BBQ,Food Take Out,2188 EGLINTON AVE W,43.69346,-79.46147,Pass,2,USE CLOTH NOT IN GOOD REPAIR FOR CLEANING FOOD CONTACT SURFACE - SEC. 16(A),02/08/2023,M - Minor,Notice to Comply,,
3406,10768421,105108283,LE JARDIN DE MOLIERE INC.,Child Care - Catered,"3029 LAKE SHORE BLVD W, Flr-2",43.59976,-79.50883,Pass,2,Operate food premise - mechanical equipment not constructed to maintain rinse water at 82 C - Sec. 20(1)(a)(ii)(A) ,02/08/2023,S - Significant,Notice to Comply,,
3407,10564922,105117443,LIGHT CAFE,Food Take Out,23 BALDWIN ST,43.65601,-79.39307,Pass,3,,02/08/2023,,,,
3408,10773710,105117063,LILI,Food Take Out,100 KING ST W,43.64873,-79.38376,Pass,3,FOOD PREMISE NOT MAINTAINED WITH FOOD HANDLING ROOM IN SANITARY CONDITION - SEC. 7(1)(E) ,02/08/2023,M - Minor,Notice to Comply,,
3409,10773710,105117063,LILI,Food Take Out,100 KING ST W,43.64873,-79.38376,Pass,3,FOOD PREMISE NOT MAINTAINED WITH CLEAN FLOORS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ,02/08/2023,M - Minor,Notice to Comply,,
3410,10773710,105117063,LILI,Food Take Out,100 KING ST W,43.64873,-79.38376,Pass,3,Fail to ensure completion of food handling training by food handler or supervisor - Sec. 32,02/08/2023,NA - Not Applicable,Notice to Comply,,
3411,10610226,105117413,LONCH RESTAURANT,Restaurant,"1000 GERRARD ST E, Unit-F7",43.66943,-79.3393,Pass,2,Distribute potentially hazardous foods at internal temperature between 4 C and 60 C - Sec. 27(1),02/08/2023,C - Crucial,Notice to Comply,,
3412,10610226,105117413,LONCH RESTAURANT,Restaurant,"1000 GERRARD ST E, Unit-F7",43.66943,-79.3393,Pass,2,Fail to ensure presence of food handler or supervisor during all hours of operation - Sec. 32,02/08/2023,NA - Not Applicable,Notice to Comply,,
3413,10493439,105117236,LUCKY DRAGON RESTAURANT,Restaurant,3203 DUFFERIN ST,43.71858,-79.45534,Pass,3,USE UTENSILS NOT SUITABLE FOR INTENDED PURPOSE - SEC. 8(1)(D)  ,02/08/2023,S - Significant,Corrected During Inspection,,
3414,10493439,105117236,LUCKY DRAGON RESTAURANT,Restaurant,3203 DUFFERIN ST,43.71858,-79.45534,Pass,3,FAIL TO PROVIDE THERMOMETER IN REFRIGERATION EQUIPMENT - SEC. 30(B)    ,02/08/2023,S - Significant,Corrected During Inspection,,
3415,10493439,105117236,LUCKY DRAGON RESTAURANT,Restaurant,3203 DUFFERIN ST,43.71858,-79.45534,Pass,3,FOOD PREMISE NOT MAINTAINED WITH FOOD HANDLING ROOM IN SANITARY CONDITION - SEC. 7(1)(E) ,02/08/2023,M - Minor,Notice to Comply,,
3416,10493439,105117236,LUCKY DRAGON RESTAURANT,Restaurant,3203 DUFFERIN ST,43.71858,-79.45534,Pass,3,FOOD PREMISE NOT MAINTAINED WITH CLEAN WALLS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ,02/08/2023,M - Minor,Notice to Comply,,
3417,10493439,105117236,LUCKY DRAGON RESTAURANT,Restaurant,3203 DUFFERIN ST,43.71858,-79.45534,Pass,3,Operate food premise - appliances not arranged to permit maintenance in sanitary condition - Sec. 9,02/08/2023,M - Minor,Notice to Comply,,
3418,10493439,105117236,LUCKY DRAGON RESTAURANT,Restaurant,3203 DUFFERIN ST,43.71858,-79.45534,Pass,3,Use racks not of readily cleanable design - Sec. 31,02/08/2023,M - Minor,Notice to Comply,,
3419,10493439,105117236,LUCKY DRAGON RESTAURANT,Restaurant,3203 DUFFERIN ST,43.71858,-79.45534,Pass,3,USE CLOTH NOT IN GOOD REPAIR FOR CLEANING FOOD CONTACT SURFACE - SEC. 16(A),02/08/2023,M - Minor,Notice to Comply,,
3420,10493439,105117236,LUCKY DRAGON RESTAURANT,Restaurant,3203 DUFFERIN ST,43.71858,-79.45534,Pass,3,FAIL TO ENSURE EQUIPMENT SURFACE SANITIZED AS NECESSARY - SEC. 22,02/08/2023,M - Minor,Notice to Comply,,
3421,10372939,105116891,MAC'S  SUSHI,Food Take Out,"1800 SHEPPARD AVE E, Unit-2022",43.77775,-79.3445,Pass,2,,02/08/2023,,,,
3422,9049711,105117282,MAK EUROPEAN DELICATESSENS,Food Take Out,"1335 LAWRENCE AVE E, Unit-2",43.74063,-79.32051,Pass,2,Fail to protect against entry of pests - Sec. 13(1),02/08/2023,M - Minor,Notice to Comply,,
3423,9049711,105117282,MAK EUROPEAN DELICATESSENS,Food Take Out,"1335 LAWRENCE AVE E, Unit-2",43.74063,-79.32051,Pass,2,FOOD PREMISE NOT MAINTAINED WITH CLEAN FLOORS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ,02/08/2023,M - Minor,Notice to Comply,,
3424,9049711,105117282,MAK EUROPEAN DELICATESSENS,Food Take Out,"1335 LAWRENCE AVE E, Unit-2",43.74063,-79.32051,Pass,2,FOOD PREMISE NOT MAINTAINED WITH CLEAN WALLS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ,02/08/2023,M - Minor,Notice to Comply,,
3425,9049711,105117282,MAK EUROPEAN DELICATESSENS,Food Take Out,"1335 LAWRENCE AVE E, Unit-2",43.74063,-79.32051,Pass,2,FAIL TO ENSURE EQUIPMENT SURFACE SANITIZED AS NECESSARY - SEC. 22,02/08/2023,M - Minor,Notice to Comply,,
3426,9049711,105117282,MAK EUROPEAN DELICATESSENS,Food Take Out,"1335 LAWRENCE AVE E, Unit-2",43.74063,-79.32051,Pass,2,Fail to protect against harbouring of pests - Sec. 13(1),02/08/2023,S - Significant,Notice to Comply,,
3427,10450120,105117944,MAMA'S PIZZA,Restaurant,405 RICHMOND ST W,43.64801,-79.39497,Pass,2,OPERATE FOOD PREMISE - FAIL TO EQUIP SANITARY FACILITY WITH TOILET PAPER - SEC. 25(3)(B)  ,02/08/2023,S - Significant,Corrected During Inspection,,
3428,10727541,105117706,MAPLE LEAF SPORTS BAR & GRILL,Restaurant,828 DANFORTH AVE,43.67991,-79.34103,Pass,3,Fail to ensure presence of food handler or supervisor during all hours of operation - Sec. 32,02/08/2023,NA - Not Applicable,Notice to Comply,,
3429,10727541,105117706,MAPLE LEAF SPORTS BAR & GRILL,Restaurant,828 DANFORTH AVE,43.67991,-79.34103,Pass,3,Fail to Produce Most Recent Food Safety Inspection Report(s) - Sec. 545-157(E)(5),02/08/2023,NA - Not Applicable,Notice to Comply,,
3430,10478219,105117053,MCKEE MCKIDS,Child Care - Catered,35 CHURCH AVE,43.77412,-79.41106,Pass,2,,02/08/2023,,,,
3431,10756028,105117111,MISATO SUSHI JAPANESE RESTAURANT,Restaurant,"5460 YONGE ST, Unit-102",43.77721,-79.41553,Pass,2,FAIL TO ENSURE EQUIPMENT SURFACE SANITIZED AS NECESSARY - SEC. 22,02/08/2023,M - Minor,Notice to Comply,,
3432,10724591,105117565,MOEGI SUSHI,Restaurant,"222 THE ESPLANADE, Unit-4",43.64944,-79.36544,Pass,3,FOOD PREMISE NOT MAINTAINED WITH CLEAN FLOORS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ,02/08/2023,M - Minor,Notice to Comply,,
3433,10759874,105117382,MY ROTI PLACE/ MY DOSA PLACE,Restaurant,3334 YONGE ST,43.73147,-79.40415,Pass,3,SANITIZE UTENSILS IN CHLORINE SOLUTION OF LESS THAN 100 P.P.M. OF AVAILABLE CHLORINE - SEC. 19(B) ,02/08/2023,S - Significant,Corrected During Inspection,,
3434,10759874,105117382,MY ROTI PLACE/ MY DOSA PLACE,Restaurant,3334 YONGE ST,43.73147,-79.40415,Pass,3,FOOD PREMISE NOT MAINTAINED WITH CLEAN FLOORS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ,02/08/2023,M - Minor,Notice to Comply,,
3435,10759874,105117382,MY ROTI PLACE/ MY DOSA PLACE,Restaurant,3334 YONGE ST,43.73147,-79.40415,Pass,3,FAIL TO ENSURE EQUIPMENT SURFACE SANITIZED AS NECESSARY - SEC. 22,02/08/2023,M - Minor,Notice to Comply,,
3436,10759874,105117382,MY ROTI PLACE/ MY DOSA PLACE,Restaurant,3334 YONGE ST,43.73147,-79.40415,Pass,3,OPERATE FOOD PREMISE - FAIL TO EQUIP SANITARY FACILITY WITH TOILET PAPER - SEC. 25(3)(B)  ,02/08/2023,S - Significant,Corrected During Inspection,,
3437,10640196,105117215,NICE & EASY RESTAURANT & BAR INC,Restaurant,"415 OAKDALE RD, Bldg-403",43.74922,-79.52674,Pass,2,Food premise not maintained with floors in good repair in food-handling room - Sec. 7(1)(g)  ,02/08/2023,M - Minor,Notice to Comply,,
3438,10640196,105117215,NICE & EASY RESTAURANT & BAR INC,Restaurant,"415 OAKDALE RD, Bldg-403",43.74922,-79.52674,Pass,2,FOOD PREMISE NOT MAINTAINED WITH CLEAN FLOORS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ,02/08/2023,M - Minor,Notice to Comply,,
3439,10640196,105117215,NICE & EASY RESTAURANT & BAR INC,Restaurant,"415 OAKDALE RD, Bldg-403",43.74922,-79.52674,Pass,2,FAIL TO MAINTAIN HANDWASHING STATIONS (LIQUID SOAP AND PAPER TOWELS) - SEC. 7(3)(C),02/08/2023,S - Significant,Corrected During Inspection,,
3440,10586933,105117373,NUEVA SUPER GUATEMALA,Food Store (Convenience/Variety),9 MILVAN DR,43.75125,-79.55202,Pass,1,,02/08/2023,,,,
3441,10579460,105117578,PANTRY,Restaurant,1094 YONGE ST,43.6783,-79.39043,Pass,2,,02/08/2023,,,,
3442,9011491,105115435,PEMBROKE CAREGIVER SERVICES,Boarding / Lodging Home - Kitchen,39 PEMBROKE ST,43.65744,-79.37176,Pass,2,,02/08/2023,,,,
3443,9011790,105117531,PEMBROKE LODGE,Boarding / Lodging Home - Kitchen,41 PEMBROKE ST,43.65753,-79.37182,Pass,3,,02/08/2023,,,,
3444,10694657,105117071,PETER G'S BAR &GRILL,Restaurant,1060 WILSON AVE,43.72844,-79.47997,Pass,3,Food premise not maintained with floors in good repair in food-handling room - Sec. 7(1)(g)  ,02/08/2023,M - Minor,Notice to Comply,,
3445,10694657,105117071,PETER G'S BAR &GRILL,Restaurant,1060 WILSON AVE,43.72844,-79.47997,Pass,3,FAIL TO ENSURE EQUIPMENT SURFACE SANITIZED AS NECESSARY - SEC. 22,02/08/2023,M - Minor,Notice to Comply,,
3446,10746341,105117683,PIZZA HUT,Food Take Out,844 DANFORTH AVE,43.68011,-79.34048,Pass,2,Fail to ensure presence of food handler or supervisor during all hours of operation - Sec. 32,02/08/2023,NA - Not Applicable,Notice to Comply,,
3447,10337881,105117567,PIZZA NOVA,Restaurant,222 THE ESPLANADE,43.64944,-79.36544,Pass,2,,02/08/2023,,,,
3448,10751420,105117402,PIZZA NOVA,Restaurant,3280 DUFFERIN ST,43.72073,-79.4567,Pass,2,FOOD PREMISE NOT MAINTAINED WITH FOOD HANDLING ROOM IN SANITARY CONDITION - SEC. 7(1)(E) ,02/08/2023,M - Minor,Notice to Comply,,
3449,10319939,105117475,PIZZA PIZZA,Restaurant,"9390 SHEPPARD AVE E, - 4",43.80752,-79.17593,Pass,2,FAIL TO ENSURE FOOD HANDLER IN FOOD PREMISE PROTECTS AGAINST CONTAMINATION BY HAIR - SEC.  33(1)(D),02/08/2023,M - Minor,Notice to Comply,,
3450,10411778,105117419,PIZZA PIZZA,Food Take Out,471 YONGE ST,43.66187,-79.38304,Pass,2,FOOD PREMISE NOT MAINTAINED WITH FOOD HANDLING ROOM IN SANITARY CONDITION - SEC. 7(1)(E) ,02/08/2023,M - Minor,Notice to Comply,,
3451,10411778,105117419,PIZZA PIZZA,Food Take Out,471 YONGE ST,43.66187,-79.38304,Pass,2,FAIL TO ENSURE FOOD HANDLER IN FOOD PREMISE PROTECTS AGAINST CONTAMINATION BY HAIR - SEC.  33(1)(D),02/08/2023,M - Minor,Notice to Comply,,
3452,10570554,105117486,PIZZA PIZZA,Restaurant,1080 WILSON AVE,43.72838,-79.48074,Pass,2,FAIL TO ENSURE EQUIPMENT SURFACE SANITIZED AS NECESSARY - SEC. 22,02/08/2023,M - Minor,Notice to Comply,,
3453,9012522,105117197,PRINCE JAPANESE STEAK HOUSE,Restaurant,"5555 EGLINTON AVE W, Unit-114&6",43.65004,-79.60354,Pass,2,,02/08/2023,,,,
3454,10474992,105117492,REAL FRUIT BUBBLE TEA,Food Court Vendor,500 REXDALE BLVD,43.72039,-79.60006,Pass,2,,02/08/2023,,,,
3455,10698729,105117473,RED FOX BAR & GRILL,Restaurant,9390 SHEPPARD AVE E,43.80752,-79.17593,Pass,2,,02/08/2023,,,,
3456,10530517,105117021,RUBY THAI,Food Court Vendor,100 KING ST W,43.64873,-79.38376,Pass,2,FOOD PREMISE NOT MAINTAINED WITH CLEAN FLOORS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ,02/08/2023,M - Minor,Notice to Comply,,
3457,10530517,105117021,RUBY THAI,Food Court Vendor,100 KING ST W,43.64873,-79.38376,Pass,2,FOOD PREMISE NOT MAINTAINED WITH CLEAN WALLS IN FOOD-HANDLING ROOM - SEC. 7(1)(G)  ,02/08/2023,M - Minor,Notice to Comply,,
3458,10737438,105118127,RUSSELL'S BUTCHER & DELI,Butcher Shop,401 RONCESVALLES AVE,43.65094,-79.45063,Pass,2,Fail to ensure presence of food handler or supervisor during all hours of operation - Sec. 32,02/08/2023,NA - Not Applicable,Notice to Comply,,
3459,10694859,105117584,SALON,Restaurant,162 CUMBERLAND ST,43.67014,-79.39369,Pass,3,FAIL TO ENSURE FOOD HANDLER IN FOOD PREMISE PROTECTS AGAINST CONTAMINATION BY HAIR - SEC.  33(1)(D),02/08/2023,M - Minor,Notice to Comply,,
3460,10750220,105115501,SIMPLE BURGER,Restaurant,735 BLOOR ST W,43.66342,-79.41871,Pass,3,,02/08/2023,,,,
3461,10665128,105117067,SPOON AND FORK JAPANESE THAI,Restaurant,"1233 THE QUEENSWAY, Ste-24",43.62121,-79.52462,Pass,3,FOOD PREMISE NOT MAINTAINED WITH FOOD HANDLING ROOM IN SANITARY CONDITION - SEC. 7(1)(E) ,02/08/2023,M - Minor,Notice to Comply,,
3462,10344210,105116893,ST. LOUIS BAR AND GRILL,Restaurant,"1800 SHEPPARD AVE E, Unit-2016",43.77775,-79.3445,Pass,2,,02/08/2023,,,,
3463,10698432,105116859,ST. STEPHEN CHILD CARE CENTRE,Child Care - Catered,"55 GOLFDOWN DR, Bldg-0",43.72193,-79.55445,Pass,2,,02/08/2023,,,,
3464,10271280,105117129,SUBWAY,Restaurant,731 BLOOR ST W,43.6634,-79.41853,Pass,2,FAIL TO PROVIDE THERMOMETER IN REFRIGERATION EQUIPMENT - SEC. 30(B)    ,02/08/2023,S - Significant,Corrected During Inspection,,
3465,10271280,105117129,SUBWAY,Restaurant,731 BLOOR ST W,43.6634,-79.41853,Pass,2,Fail to protect against entry of pests - Sec. 13(1),02/08/2023,M - Minor,Notice to Comply,,
3466,10271280,105117129,SUBWAY,Restaurant,731 BLOOR ST W,43.6634,-79.41853,Pass,2,Fail to ensure presence of food handler or supervisor during all hours of operation - Sec. 32,02/08/2023,NA - Not Applicable,Notice to Comply,,
3467,10773754,105117398,SUBWAY,Restaurant,"1160 MORNINGSIDE AVE, Unit-A",43.80111,-79.19979,Pass,2,Fail to provide hot and cold running water in utensil washing area   - Sec. 7(3)(b)  ,02/08/2023,S - Significant,Notice to Comply,,
3468,10773754,105117398,SUBWAY,Restaurant,"1160 MORNINGSIDE AVE, Unit-A",43.80111,-79.19979,Pass,2,Operate food premise - fail to equip sanitary facility with hot and cold running water - Sec. 25(3)(a) ,02/08/2023,S - Significant,Notice to Comply,,
3469,10773754,105117398,SUBWAY,Restaurant,"1160 MORNINGSIDE AVE, Unit-A",43.80111,-79.19979,Pass,2,Fail to provide handwashing stations with adequate supplies (hot and cold water) - Sec. 7(3)(c),02/08/2023,S - Significant,Notice to Comply,,
3470,10749909,105116916,SULTAN'S MEDITERRANEAN GRILL,Food Take Out,"200 BAY ST, Unit-F4",43.64709,-79.38032,Pass,3,Food premise not maintained with floors in good repair in food-handling room - Sec. 7(1)(g)  ,02/08/2023,M - Minor,Notice to Comply,,
3471,10749909,105116916,SULTAN'S MEDITERRANEAN GRILL,Food Take Out,"200 BAY ST, Unit-F4",43.64709,-79.38032,Pass,3,FOOD PREMISE NOT MAINTAINED WITH FOOD HANDLING ROOM IN SANITARY CONDITION - SEC. 7(1)(E) ,02/08/2023,M - Minor,Notice to Comply,,
3472,10544842,105116988,SUNNYLEA COOP NURSERY SCHOOL,Child Care - Food Preparation,86 MONTGOMERY RD,43.65009,-79.5223,Pass,2,,02/08/2023,,,,
3473,10564539,105117296,SUNSET GRILL,Restaurant,1123 LODESTAR RD,43.75969,-79.46545,Pass,2,,02/08/2023,,,,
